name,debt
"ПАТ ""ДНІПРОПЕТРОВСЬКИЙ ТРУБНИЙ ЗАВОД""",92034
ХДАВП,91305
"ПАТ ""УКРБІЗНЕСБАНК""",90940
"ТОВ ""АЛЬФА-ПЕТРОЛ""",90459
"ТОВ ""ТОНМЕТ""",88531
"ВАТ ""ПАСАВТОПРОМ""",88389
"ТОВ ""РИЖКОФФ""",87189
"ПАТ ""КБ ""ІНТЕРБАНК""",87027
"ТОВ ""ОЛІМП ДЕВЕЛОПМЕНТ""",86927
"ПАТ ""ДОНБАСЕНЕРГО""",86654
"АТ ""ЄВРОГАЗБАНК""",85601
"ТОВ ""ОДІССЕЙ ОЙЛ""",83649
