name,debt
ДПI У М. ХМЕЛЬНИЦЬКОМУ ГУ ДФС У ХМЕЛЬНИЦЬКIЙ ОБЛАСТI,171784
ДПI У ЦЕНТРАЛЬНОМУ РАЙОНI М.ДНIПРА,166140
"ГЕНIЧЕСЬКА ОДПI(ВЕЗ КРИМ, М. ЯЛТА)",163079
ДПI У ЦЕНТРАЛЬНОМУ Р-НI М. МИКОЛАЄВА (ЗАВОДСЬКИЙ Р-Н),161072
СЛОВ'ЯНСЬКА ОДПI ГУ ДФС У ДОНЕЦЬКIЙ ОБЛАСТI,157124
МАРIУПОЛЬСЬКА ОДПI (ЦЕНТРАЛЬНО-ДОНЕЦЬКЕ ВIДДIЛЕННЯ),156604
МАРIУПОЛЬСЬКА ОДПI ГУ ДФС У ДОН.ОБЛ(ЛIВОБЕРЕЖНЕ ВIД-НЯ,156282
СХIДНА ОДПI М.ХАРКОВА ГУ ДФС У Х/О (КОМIНТЕРН.),155856
МАРIУПОЛЬСЬКА ОДПI (КИЇВСЬКИЙ Р-Н М.ДОНЕЦЬК),152630
МАРIУПОЛЬСЬКА ОДПI (ЗАХIДНО-ДОНЕЦЬКЕ ВIДДIЛЕННЯ),151946
ДПI В IНГУЛЬСЬКОМУ Р-НI М.МИКОЛАЄВА ГУ ДФС У МИК. ОБЛ.,146670
ДПI У ЦЕНТРАЛЬНОМУ Р-НI М. МИКОЛАЄВА ГУ ДФС У МИК. ОБЛ,146394
КРИВОРIЗЬКА ПIВНIЧНА ОДПI ГУ ДФС У ДНIПР. ОБЛ,146272
ЛУГАНСЬКА ОДПI (АЛЧЕВСЬКЕ ВIДДIЛЕННЯ),144706
ЛУГАНСЬКА ОДПI ГУ ДФС У ЛУГАНСЬКIЙ ОБЛ.,142451
ДПI У М.ЛИСИЧАНСЬКУ ГУ ДФС У ЛУГАНСЬКIЙ ОБЛАСТI,140304
"БОРИСПIЛЬСЬКЕ ВIДДIЛЕН, (БОРИСП. Р-Н.)БРОВАРСЬКОЇ ОДПI",137764
МАРIУПОЛЬСЬКА ОДПI ГУ ДФС У ДОН.ОБЛ(ЦЕНТРАЛЬНЕ ВIД-НЯ),133170
ВИШГОРОДСЬКА ОДПI ГУ ДФС У КИЇВСЬКIЙ ОБЛАСТI,132246
ДПI У НОВОКОДАЦЬКОМУ РАЙОНI М.ДНIПРА ГУ ДФС,130239
ЦЕНТРАЛЬНА ОДПI М. ХАРКОВА ГУ ДФС У Х/О (ЛЕНIНСЬКИЙ),129308
БIЛОЦЕРКIВСЬКА ОДПI ГУ ДФС У КИЇВСЬКIЙ ОБЛАСТI,129061
ДПI В АМУР-НИЖНЬОДНIПРОВСЬКОМУ РАЙОНI М.ДНIПРА,126575
ВОЛОДИМИР-ВОЛИНСЬКА ОДПI ГУ ДФС (НОВОВОЛИНСЬКЕ ВIД-ННЯ,124181
УЖГОРОДСЬКА ОДПI ГУ ДФС У ЗАК.ОБЛ.(ВIД-НЯ У М.УЖГОРОД),123580
ПОКРОВСЬКА ОДПI (КIРОВСЬКИЙ Р-Н М. МАКIЇВКА),121811
ЗАХIДНО-ДОНБАСЬКА ОДПI ГУ ДФС У ДНIПР. ОБЛ,114455
ШОСТКИНСЬКА ОДПI ГУ ДФС У СУМСЬКIЙ ОБЛАСТI (М. ШОСТКА),113731
БЕРДЯНСЬКА ОДПI ГУ ДФС У ЗАПОРIЗЬКIЙ ОБЛ.,113295
"ГЕНIЧЕСЬКА ОДПI(ВЕЗ КРИМ, ГАГАРIНСЬК.Р-Н М.СЕВАСТ.)",109341
КРИВОРIЗЬКА ПIВДЕННА ОДПI ГУ ДФС У ДНIПР. ОБЛ,103430
МАРIУПОЛЬСЬКА ОДПI (ЛЕНIНСЬКИЙ Р-Н М.ДОНЕЦЬК),102799
МАРIУПОЛЬСЬКА ОДПI (СХIДНО-ДОНЕЦЬКЕ ВIДДIЛЕННЯ),101869
ТЕРНОПIЛЬСЬКА ОДПI ГУ ДФС У ТЕРНОПIЛЬСЬКIЙ ОБЛАСТI,101016
БРОВАРСЬКА ОДПI (М.БРОВАРИ) ГУ ДФС У КИЇВСЬКIЙ ОБЛАСТI,99786
ДПI У ЧЕЧЕЛIВСЬКОМУ РАЙОНI М.ДНIПРА,99178
ДПI У М.СУМАХ ГУ ДФС (КРАСНОПIЛЬСЬКЕ ВIД-НЯ),97671
"ГЕНIЧЕСЬКА ОДПI(ВЕЗ КРИМ, НАХИМIВСЬК.Р-Н М.СЕВАСТ.)",97481
ЗАЛIЗНИЧНА ОДПI (ФРАНКIВСЬКЕ ВIДДIЛЕННЯ),96619
ЗАПОРIЗЬКА ОДПI ГУ ДФС (ВIД-НЯ У ШЕВЧЕНКIВСЬКОМУ Р-НI,93073
ДПI У М.СЄВЄРОДОНЕЦЬКУ ГУ ДФС У ЛУГАНСЬКIЙ ОБЛАСТI,93051
ВИШГОРОДСЬКА ОДПI IРПIНСЬКЕ ВIДДIЛЕННЯ,90678
